epoch;train_loss;val_loss;si_sdr;pesq;stoi;der
1;3.76725823867321;2.800724823366512;-3.082274913787842;1.0852428356806436;0.5043785374162109;0.38450897416638374
2;1.8901025803089142;0.42970703495666385;-0.4987470209598541;1.110539909203847;0.5891048735362857;0.3282167860836904
3;1.0788122637271882;-0.3438602387905121;0.3716563284397125;1.08761838277181;0.6252287971835682;0.2923222669049709
4;0.6769650486707688;4.371172243898565;-2.378858989973863;1.1099413235982258;0.5669865830059418;0.3436864963401271
5;0.3174355804622173;1.8748858408494429;-2.9296746253967285;1.1399831930796303;0.6074502847395453;0.30617065376853037
6;0.29244800382852554;2.5657923980192705;-0.17532926102479296;1.1144780993461612;0.5766351370008438;0.31814863927621284
7;-0.14034671825170517;1.8976838737726212;0.5767949655652046;1.121345269680023;0.6397223912765634;0.28330138800383553
8;-0.43310227352380753;0.1504737761887637;-0.1699686497449875;1.1358070969581604;0.5961492387363275;0.28346919888976146
9;-0.9048524005711078;1.1137791221792048;1.4298272848129272;1.117421587308248;0.6246137504254194;0.27058235192056745
10;-0.8942437995076179;-1.5036066987297751;1.6445220708847046;1.1529501636823019;0.5886891780062017;0.2508880651001399
11;-1.0394709132313729;-2.678061777895147;2.939936876296997;1.130146288871765;0.65865511599233;0.20628963831899205
12;-1.086267242372036;1.093775451183319;1.4572996288537978;1.1447600404421487;0.6018673155371326;0.27903847967641515
13;-1.258568073451519;-0.6198904920708049;0.6736516952514648;1.1276396274566651;0.6354853872935772;0.2764099403768451
14;-1.1950011711120605;-2.169697653163563;2.381791830062866;1.1638748208681742;0.5906560974038089;0.2290917909263598
15;-1.2952380332946778;-0.10257711193778297;2.773120821515719;1.152246061960856;0.664740915178389;0.23465291982495384
16;-1.644305928349495;-1.5394312983209437;1.6900707483291626;1.1389823953310647;0.642960210050989;0.24356189784370272
17;-1.5242951209545135;0.7735146663405679;1.807867427666982;1.1389105319976807;0.620868737922205;0.2614628912660245
18;-1.8102461369037628;-1.962625796144659;2.1506075859069824;1.1616652568181356;0.6032436565951956;0.23614300550153358
19;-1.7448457080125808;-0.2552630196918141;0.30059370398521423;1.1651553908983865;0.5897607347343251;0.26675613026342576
20;-1.9349000372886658;-0.007030942223288796;0.010231399908661842;1.1129093488057453;0.6378163598304932;0.29485420440690047
21;-1.977219730257988;-1.4791452342813665;1.6178195476531982;1.1582990686098735;0.6220790915935657;0.24694041555958046
22;-1.93776700425148;-1.1758434935049578;1.2900546789169312;1.1471299370129904;0.6554407120990628;0.2546418201651786
23;-1.9924806406497955;-1.970761234110052;2.158843517303467;1.1528093377749127;0.66370414137284;0.20731585982115144
24;-1.9909457907676698;-3.0198706713589756;3.316070079803467;1.1503795504570007;0.6542233285096594;0.19032022373363208
25;-2.008459780573845;-2.019730058583346;2.2165799140930176;1.1413328846295676;0.6646749331903347;0.22811621884168692
26;-2.110707112789154;-0.3923501101407138;0.39528515934944153;1.1720508535703025;0.6176427887641751;0.2523959462447247
27;-2.0762610861063004;-3.854090788147666;4.233587265014648;1.1897987604141238;0.6958920298003399;0.16623015237790245
28;-2.3726228820085526;-2.6855119466781616;2.94807767868042;1.1760785539944967;0.5801023619307213;0.20952126935422416
29;-2.1179635052680967;-0.19190227714451877;0.2026224136352539;1.1468244671821595;0.6290886393159612;0.2686199082118877
30;-1.8730552279949189;-1.9351258928125554;2.124009370803833;1.1431381901105244;0.6644547110382873;0.23256163486543877
31;-1.9690217308998108;1.6901786652478306;0.8015665014584858;1.168242863814036;0.5953123023894757;0.28886250944122144
32;-2.186962133169174;-1.4317840500311418;1.5658468008041382;1.1463050802548727;0.5828496764638338;0.23214248708224988
33;-2.0893533420562744;-2.721296342936429;2.9887495040893555;1.1646699905395508;0.6303341201391937;0.2121095291133573
34;-2.2431136643886567;-2.1703557913953606;2.3806591033935547;1.165708033243815;0.6519293613813201;0.21913041099080593
35;-1.9809562636613847;1.8510966300964355;0.624701229731242;1.1284415165583292;0.6372295513974306;0.28765725474681847
36;-2.3252702910900114;-2.1049768274480645;2.3079781532287598;1.1517046809196472;0.6307775477150537;0.2234470725930454
37;-2.0929587197303774;1.0827234522862867;1.467523530125618;1.1348349968592326;0.6586270406660503;0.2567211059916169
38;-2.1472918697595595;0.9098109440370039;1.6577042678991956;1.1648130178451537;0.5926945226326862;0.24571696722893507
39;-2.3934888405799866;0.407205885106867;2.2201060046752294;1.1525129238764444;0.6463418033463854;0.21995303530055144
40;-2.156489438056946;-3.2148941213434394;3.52990984916687;1.1700898170471192;0.6619230787364002;0.1872621774412835
